DrainI(1),DrainV(1),GateI(1),GateV(1),IDRAIN(1),IGATE(1),IDMAX(1),RD(1),IGLEAK(1),DrainI(2),DrainV(2),GateI(2),GateV(2),IDRAIN(2),IGATE(2),IDMAX(2),RD(2),IGLEAK(2),DrainI(3),DrainV(3),GateI(3),GateV(3),IDRAIN(3),IGATE(3),IDMAX(3),RD(3),IGLEAK(3),DrainI(4),DrainV(4),GateI(4),GateV(4),IDRAIN(4),IGATE(4),IDMAX(4),RD(4),IGLEAK(4),DrainI(5),DrainV(5),GateI(5),GateV(5),IDRAIN(5),IGATE(5),IDMAX(5),RD(5),IGLEAK(5),DrainI(6),DrainV(6),GateI(6),GateV(6),IDRAIN(6),IGATE(6),IDMAX(6),RD(6),IGLEAK(6),DrainI(7),DrainV(7),GateI(7),GateV(7),IDRAIN(7),IGATE(7),IDMAX(7),RD(7),IGLEAK(7),DrainI(8),DrainV(8),GateI(8),GateV(8),IDRAIN(8),IGATE(8),IDMAX(8),RD(8),IGLEAK(8),DrainI(9),DrainV(9),GateI(9),GateV(9),IDRAIN(9),IGATE(9),IDMAX(9),RD(9),IGLEAK(9),DrainI(10),DrainV(10),GateI(10),GateV(10),IDRAIN(10),IGATE(10),IDMAX(10),RD(10),IGLEAK(10),DrainI(11),DrainV(11),GateI(11),GateV(11),IDRAIN(11),IGATE(11),IDMAX(11),RD(11),IGLEAK(11),DrainI(12),DrainV(12),GateI(12),GateV(12),IDRAIN(12),IGATE(12),IDMAX(12),RD(12),IGLEAK(12),DrainI(13),DrainV(13),GateI(13),GateV(13),IDRAIN(13),IGATE(13),IDMAX(13),RD(13),IGLEAK(13),DrainI(14),DrainV(14),GateI(14),GateV(14),IDRAIN(14),IGATE(14),IDMAX(14),RD(14),IGLEAK(14),DrainI(15),DrainV(15),GateI(15),GateV(15),IDRAIN(15),IGATE(15),IDMAX(15),RD(15),IGLEAK(15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609.0849E-9,999.3815E-3,-2.9021E-6,-5.0000E+0,13.5351E-3,-58.0412E-3,,4.5209E+6,,457.3710E-9,999.3715E-3,-2.1683E-6,-4.5000E+0,10.1637E-3,-43.3658E-3,,4.7729E+6,,352.5488E-9,999.3281E-3,-1.3423E-6,-4.0000E+0,7.8343E-3,-26.8455E-3,,4.5348E+6,,291.1043E-9,999.3373E-3,-860.0837E-9,-3.5000E+0,6.4689E-3,-17.2017E-3,,4.5412E+6,,1.0813E-3,999.3256E-3,-553.9969E-9,-3.0000E+0,24.0287E+0,-11.0799E-3,,10.2954E+3,,7.4568E-3,999.4374E-3,-461.7523E-9,-2.5000E+0,165.7058E+0,-9.2350E-3,,1.2729E+3,,14.4932E-3,999.3464E-3,-260.4902E-9,-2.0000E+0,322.0683E+0,-5.2098E-3,,137.5503E+0,,18.2372E-3,999.3506E-3,-306.6107E-9,-1.5000E+0,405.2682E+0,-6.1322E-3,,69.5113E+0,,20.2223E-3,999.3648E-3,-185.0149E-9,-1.0000E+0,449.3806E+0,-3.7003E-3,,57.0678E+0,,21.2140E-3,999.3514E-3,-218.5607E-9,-500.0000E-3,471.4165E+0,-4.3712E-3,,52.4476E+0,,21.8656E-3,999.3640E-3,-252.1028E-9,000.0000E+0,485.8970E+0,-5.0421E-3,,50.1256E+0,,22.3243E-3,999.3706E-3,-273.0685E-9,500.0000E-3,496.0915E+0,-5.4614E-3,,48.7509E+0,,22.7586E-3,999.3623E-3,-235.3318E-9,1.0000E+0,505.7420E+0,-4.7066E-3,,47.7567E+0,,23.0726E-3,999.3706E-3,-201.7878E-9,1.5000E+0,512.7183E+0,-4.0358E-3,,47.1049E+0,,23.7232E-3,999.3656E-3,1.6389E-6,2.0000E+0,527.1771E+0,32.7785E-3,,46.1106E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630.9417E-9,1.0994E+0,-2.9608E-6,-5.0000E+0,14.0208E-3,-59.2152E-3,,4.5778E+6,,474.1919E-9,1.0994E+0,-2.2312E-6,-4.5000E+0,10.5375E-3,-44.6236E-3,,5.9472E+6,,370.8898E-9,1.0994E+0,-1.4136E-6,-4.0000E+0,8.2419E-3,-28.2711E-3,,5.4552E+6,,312.5673E-9,1.0994E+0,-918.7843E-9,-3.5000E+0,6.9459E-3,-18.3757E-3,,4.6609E+6,,1.0933E-3,1.0994E+0,-663.0125E-9,-3.0000E+0,24.2950E+0,-13.2603E-3,,8.3485E+3,,7.5192E-3,1.0995E+0,-403.0499E-9,-2.5000E+0,167.0922E+0,-8.0610E-3,,1.6036E+3,,14.9966E-3,1.0994E+0,-277.2595E-9,-2.0000E+0,333.2537E+0,-5.5452E-3,,198.7644E+0,,19.5305E-3,1.0994E+0,-268.8739E-9,-1.5000E+0,434.0075E+0,-5.3775E-3,,77.3588E+0,,21.8822E-3,1.0994E+0,-143.0853E-9,-1.0000E+0,486.2652E+0,-2.8617E-3,,60.2726E+0,,23.0507E-3,1.0994E+0,-298.2251E-9,-500.0000E-3,512.2337E+0,-5.9645E-3,,54.4685E+0,,23.7987E-3,1.0994E+0,-285.6468E-9,000.0000E+0,528.8549E+0,-5.7129E-3,,51.7565E+0,,24.3161E-3,1.0994E+0,-260.4902E-9,500.0000E-3,540.3525E+0,-5.2098E-3,,50.2277E+0,,24.7913E-3,1.0994E+0,-231.1390E-9,1.0000E+0,550.9118E+0,-4.6228E-3,,49.2245E+0,,25.1356E-3,1.0994E+0,-231.1390E-9,1.5000E+0,558.5638E+0,-4.6228E-3,,48.4933E+0,,25.8262E-3,1.0994E+0,1.2322E-6,2.0000E+0,573.9091E+0,24.6441E-3,,47.5719E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655.8591E-9,1.1995E+0,-2.9188E-6,-5.0000E+0,14.5745E-3,-58.3766E-3,,4.0137E+6,,495.3813E-9,1.1994E+0,-2.1851E-6,-4.5000E+0,11.0084E-3,-43.7012E-3,,4.7200E+6,,390.3833E-9,1.1994E+0,-1.4597E-6,-4.0000E+0,8.6751E-3,-29.1935E-3,,5.1317E+6,,332.6161E-9,1.1994E+0,-881.0475E-9,-3.5000E+0,7.3914E-3,-17.6210E-3,,4.9889E+6,,1.1041E-3,1.1994E+0,-654.6288E-9,-3.0000E+0,24.5349E+0,-13.0926E-3,,9.2656E+3,,7.5681E-3,1.1995E+0,-411.4372E-9,-2.5000E+0,168.1793E+0,-8.2287E-3,,2.0448E+3,,15.3236E-3,1.1994E+0,-285.6468E-9,-2.0000E+0,340.5211E+0,-5.7129E-3,,305.8752E+0,,20.6607E-3,1.1994E+0,-247.9101E-9,-1.5000E+0,459.1220E+0,-4.9582E-3,,88.5151E+0,,23.4357E-3,1.1994E+0,-88.5775E-9,-1.0000E+0,520.7888E+0,-1.7716E-3,,64.3890E+0,,24.8066E-3,1.1994E+0,-231.1390E-9,-500.0000E-3,551.2519E+0,-4.6228E-3,,56.9768E+0,,25.6623E-3,1.1995E+0,-201.7878E-9,000.0000E+0,570.2673E+0,-4.0358E-3,,53.6796E+0,,26.2406E-3,1.1995E+0,-256.2956E-9,500.0000E-3,583.1193E+0,-5.1259E-3,,51.9821E+0,,26.7594E-3,1.1994E+0,-201.7878E-9,1.0000E+0,594.6479E+0,-4.0358E-3,,50.8238E+0,,27.1354E-3,1.1994E+0,-239.5245E-9,1.5000E+0,603.0030E+0,-4.7905E-3,,50.0209E+0,,27.8589E-3,1.1994E+0,1.0477E-6,2.0000E+0,619.0805E+0,20.9543E-3,,49.2154E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680.9012E-9,1.2995E+0,-3.0446E-6,-5.0000E+0,15.1310E-3,-60.8923E-3,,3.9947E+6,,523.3356E-9,1.2995E+0,-2.2228E-6,-4.5000E+0,11.6296E-3,-44.4560E-3,,3.5786E+6,,410.9891E-9,1.2995E+0,-1.5016E-6,-4.0000E+0,9.1330E-3,-30.0321E-3,,4.8554E+6,,350.5080E-9,1.2994E+0,-948.1355E-9,-3.5000E+0,7.7890E-3,-18.9627E-3,,5.5910E+6,,1.1123E-3,1.2994E+0,-654.6288E-9,-3.0000E+0,24.7173E+0,-13.0926E-3,,12.1882E+3,,7.6106E-3,1.2995E+0,-465.9450E-9,-2.5000E+0,169.1222E+0,-9.3189E-3,,2.3575E+3,,15.5295E-3,1.2994E+0,-294.0324E-9,-2.0000E+0,345.0976E+0,-5.8806E-3,,485.6739E+0,,21.6122E-3,1.2995E+0,-294.0324E-9,-1.5000E+0,480.2660E+0,-5.8806E-3,,105.1213E+0,,24.8725E-3,1.2995E+0,-164.0510E-9,-1.0000E+0,552.7170E+0,-3.2810E-3,,69.6179E+0,,26.4773E-3,1.2995E+0,-239.5245E-9,-500.0000E-3,588.3789E+0,-4.7905E-3,,59.8690E+0,,27.4506E-3,1.2995E+0,-222.7516E-9,000.0000E+0,610.0080E+0,-4.4550E-3,,55.9311E+0,,28.0957E-3,1.2995E+0,-289.8414E-9,500.0000E-3,624.3419E+0,-5.7968E-3,,53.9204E+0,,28.6599E-3,1.2995E+0,-180.8239E-9,1.0000E+0,636.8797E+0,-3.6165E-3,,52.6363E+0,,29.0677E-3,1.2995E+0,-294.0324E-9,1.5000E+0,645.9415E+0,-5.8806E-3,,51.7696E+0,,29.8182E-3,1.2995E+0,720.6636E-9,2.0000E+0,662.6191E+0,14.4133E-3,,51.0543E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703.2895E-9,1.3994E+0,-3.0278E-6,-5.0000E+0,15.6285E-3,-60.5569E-3,,4.4608E+6,,541.5378E-9,1.3993E+0,-2.2647E-6,-4.5000E+0,12.0341E-3,-45.2945E-3,,5.4861E+6,,430.4841E-9,1.3993E+0,-1.4848E-6,-4.0000E+0,9.5662E-3,-29.6967E-3,,5.1210E+6,,375.3137E-9,1.3992E+0,-893.6258E-9,-3.5000E+0,8.3402E-3,-17.8725E-3,,4.0239E+6,,1.1221E-3,1.3993E+0,-616.8921E-9,-3.0000E+0,24.9345E+0,-12.3378E-3,,10.2156E+3,,7.6512E-3,1.3994E+0,-465.9450E-9,-2.5000E+0,170.0245E+0,-9.3189E-3,,2.4593E+3,,15.6584E-3,1.3993E+0,-302.4197E-9,-2.0000E+0,347.9614E+0,-6.0484E-3,,774.8331E+0,,22.3791E-3,1.3993E+0,-298.2251E-9,-1.5000E+0,497.3083E+0,-5.9645E-3,,130.2051E+0,,26.1849E-3,1.3993E+0,-117.9287E-9,-1.0000E+0,581.8811E+0,-2.3586E-3,,76.0936E+0,,28.0555E-3,1.3993E+0,-201.7878E-9,-500.0000E-3,623.4496E+0,-4.0358E-3,,63.2740E+0,,29.1622E-3,1.3993E+0,-252.1028E-9,000.0000E+0,648.0432E+0,-5.0421E-3,,58.3445E+0,,29.8801E-3,1.3993E+0,-235.3318E-9,500.0000E-3,663.9965E+0,-4.7066E-3,,55.9599E+0,,30.4874E-3,1.3993E+0,-201.7878E-9,1.0000E+0,677.4905E+0,-4.0358E-3,,54.6395E+0,,30.9267E-3,1.3993E+0,-252.1028E-9,1.5000E+0,687.2527E+0,-5.0421E-3,,53.7158E+0,,31.7017E-3,1.3993E+0,531.9816E-9,2.0000E+0,704.4742E+0,10.6396E-3,,53.0156E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.7893E-9,1.4995E+0,-3.0237E-6,-5.0000E+0,16.1729E-3,-60.4731E-3,,4.0884E+6,,565.2976E-9,1.4995E+0,-2.3025E-6,-4.5000E+0,12.5620E-3,-46.0492E-3,,4.2159E+6,,450.9217E-9,1.4995E+0,-1.5352E-6,-4.0000E+0,10.0204E-3,-30.7030E-3,,4.9015E+6,,396.3437E-9,1.4994E+0,-1.0110E-6,-3.5000E+0,8.8075E-3,-20.2206E-3,,4.7625E+6,,1.1323E-3,1.4995E+0,-730.1005E-9,-3.0000E+0,25.1617E+0,-14.6020E-3,,9.7966E+3,,7.6831E-3,1.4996E+0,-507.8746E-9,-2.5000E+0,170.7331E+0,-10.1575E-3,,3.1412E+3,,15.7538E-3,1.4995E+0,-197.5932E-9,-2.0000E+0,350.0809E+0,-3.9519E-3,,1.0504E+3,,22.9559E-3,1.4995E+0,-252.1028E-9,-1.5000E+0,510.1250E+0,-5.0421E-3,,173.6917E+0,,27.3588E-3,1.4995E+0,-109.5432E-9,-1.0000E+0,607.9665E+0,-2.1909E-3,,85.3316E+0,,29.5439E-3,1.4995E+0,-210.1733E-9,-500.0000E-3,656.5240E+0,-4.2035E-3,,67.3058E+0,,30.8011E-3,1.4995E+0,-273.0685E-9,000.0000E+0,684.4629E+0,-5.4614E-3,,61.1198E+0,,31.5969E-3,1.4995E+0,-256.2956E-9,500.0000E-3,702.1470E+0,-5.1259E-3,,58.3518E+0,,32.2499E-3,1.4995E+0,-205.9805E-9,1.0000E+0,716.6568E+0,-4.1196E-3,,56.8380E+0,,32.7207E-3,1.4995E+0,-226.9444E-9,1.5000E+0,727.1204E+0,-4.5389E-3,,55.8358E+0,,33.5174E-3,1.4995E+0,372.6491E-9,2.0000E+0,744.8230E+0,7.4530E-3,,55.1695E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749.2318E-9,1.5997E+0,-3.0907E-6,-5.0000E+0,16.6494E-3,-61.8148E-3,,4.6715E+6,,586.2540E-9,1.5997E+0,-2.2983E-6,-4.5000E+0,13.0277E-3,-45.9654E-3,,4.7818E+6,,471.6030E-9,1.5997E+0,-1.4932E-6,-4.0000E+0,10.4800E-3,-29.8644E-3,,4.8442E+6,,423.3844E-9,1.5996E+0,-1.0068E-6,-3.5000E+0,9.4084E-3,-20.1367E-3,,3.7045E+6,,1.1416E-3,1.5996E+0,-675.5927E-9,-3.0000E+0,25.3686E+0,-13.5119E-3,,10.7621E+3,,7.7196E-3,1.5998E+0,-482.7161E-9,-2.5000E+0,171.5457E+0,-9.6543E-3,,2.7396E+3,,15.8253E-3,1.5997E+0,-352.7348E-9,-2.0000E+0,351.6696E+0,-7.0547E-3,,1.4012E+3,,23.3643E-3,1.5997E+0,-298.2251E-9,-1.5000E+0,519.2017E+0,-5.9645E-3,,245.2744E+0,,28.3890E-3,1.5997E+0,-159.8582E-9,-1.0000E+0,630.8598E+0,-3.1972E-3,,97.2430E+0,,30.9310E-3,1.5997E+0,-197.5932E-9,-500.0000E-3,687.3493E+0,-3.9519E-3,,72.2266E+0,,32.3540E-3,1.5997E+0,-168.2438E-9,000.0000E+0,718.9715E+0,-3.3649E-3,,64.5116E+0,,33.2367E-3,1.5997E+0,-243.7173E-9,500.0000E-3,738.5857E+0,-4.8743E-3,,61.0952E+0,,33.9402E-3,1.5997E+0,-151.4727E-9,1.0000E+0,754.2193E+0,-3.0295E-3,,59.2703E+0,,34.4423E-3,1.5997E+0,-264.6811E-9,1.5000E+0,765.3777E+0,-5.2936E-3,,58.1885E+0,,35.2576E-3,1.5997E+0,255.2442E-9,2.0000E+0,783.4946E+0,5.1049E-3,,57.5732E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772.8725E-9,1.6996E+0,-3.1285E-6,-5.0000E+0,17.1748E-3,-62.5695E-3,,4.2253E+6,,603.0291E-9,1.6996E+0,-2.3234E-6,-4.5000E+0,13.4005E-3,-46.4686E-3,,5.9531E+6,,493.0826E-9,1.6995E+0,-1.5603E-6,-4.0000E+0,10.9573E-3,-31.2061E-3,,4.6490E+6,,444.3574E-9,1.6995E+0,-1.0152E-6,-3.5000E+0,9.8745E-3,-20.3044E-3,,4.7626E+6,,1.1475E-3,1.6995E+0,-751.0662E-9,-3.0000E+0,25.4989E+0,-15.0213E-3,,17.0286E+3,,7.7528E-3,1.6996E+0,-491.1017E-9,-2.5000E+0,172.2819E+0,-9.8220E-3,,3.0148E+3,,15.8870E-3,1.6995E+0,-344.3492E-9,-2.0000E+0,353.0408E+0,-6.8870E-3,,1.6184E+3,,23.6288E-3,1.6995E+0,-302.4197E-9,-1.5000E+0,525.0796E+0,-6.0484E-3,,377.5511E+0,,29.2645E-3,1.6995E+0,-92.7703E-9,-1.0000E+0,650.3148E+0,-1.8554E-3,,114.0687E+0,,32.2065E-3,1.6996E+0,-214.3661E-9,-500.0000E-3,715.6933E+0,-4.2873E-3,,78.2947E+0,,33.8222E-3,1.6996E+0,-189.2095E-9,000.0000E+0,751.5976E+0,-3.7842E-3,,68.0231E+0,,34.7955E-3,1.6996E+0,-260.4902E-9,500.0000E-3,773.2262E+0,-5.2098E-3,,64.0669E+0,,35.5501E-3,1.6996E+0,-172.4366E-9,1.0000E+0,789.9953E+0,-3.4487E-3,,62.0282E+0,,36.0861E-3,1.6996E+0,-302.4197E-9,1.5000E+0,801.9055E+0,-6.0484E-3,,60.7586E+0,,36.9171E-3,1.6996E+0,108.4918E-9,2.0000E+0,820.3722E+0,2.1698E-3,,60.1835E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796.8325E-9,1.7997E+0,-3.1075E-6,-5.0000E+0,17.7072E-3,-62.1502E-3,,4.1806E+6,,630.4888E-9,1.7997E+0,-2.3486E-6,-4.5000E+0,14.0107E-3,-46.9717E-3,,3.6472E+6,,509.9315E-9,1.7997E+0,-1.5561E-6,-4.0000E+0,11.3317E-3,-31.1223E-3,,5.9436E+6,,467.9110E-9,1.7996E+0,-956.5210E-9,-3.5000E+0,10.3979E-3,-19.1304E-3,,4.2526E+6,,1.1556E-3,1.7997E+0,-738.4879E-9,-3.0000E+0,25.6808E+0,-14.7698E-3,,12.2401E+3,,7.7842E-3,1.7998E+0,-541.4167E-9,-2.5000E+0,172.9810E+0,-10.8283E-3,,3.1839E+3,,15.9385E-3,1.7997E+0,-289.8414E-9,-2.0000E+0,354.1862E+0,-5.7968E-3,,1.9435E+3,,23.8056E-3,1.7997E+0,-319.1890E-9,-1.5000E+0,529.0084E+0,-6.3838E-3,,566.6418E+0,,29.9813E-3,1.7997E+0,-75.9974E-9,-1.0000E+0,666.2445E+0,-1.5199E-3,,139.7493E+0,,33.3744E-3,1.7997E+0,-247.9101E-9,-500.0000E-3,741.6456E+0,-4.9582E-3,,85.7722E+0,,35.2060E-3,1.7997E+0,-180.8239E-9,000.0000E+0,782.3467E+0,-3.6165E-3,,72.3884E+0,,36.2832E-3,1.7997E+0,-201.7878E-9,500.0000E-3,806.2842E+0,-4.0358E-3,,67.3345E+0,,37.0929E-3,1.7997E+0,-210.1733E-9,1.0000E+0,824.2777E+0,-4.2035E-3,,64.9302E+0,,37.6632E-3,1.7997E+0,-319.1890E-9,1.5000E+0,836.9525E+0,-6.3838E-3,,63.5116E+0,,38.5066E-3,1.7997E+0,-4.7166E-9,2.0000E+0,855.6943E+0,-94.3328E-6,,63.0127E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822.7349E-9,1.8999E+0,-3.1578E-6,-5.0000E+0,18.2828E-3,-63.1565E-3,,3.8670E+6,,651.8187E-9,1.8999E+0,-2.3821E-6,-4.5000E+0,14.4847E-3,-47.6426E-3,,4.6957E+6,,531.2241E-9,1.8999E+0,-1.6064E-6,-4.0000E+0,11.8049E-3,-32.1286E-3,,4.7061E+6,,492.0196E-9,1.8997E+0,-1.0362E-6,-3.5000E+0,10.9337E-3,-20.7237E-3,,4.1527E+6,,1.1610E-3,1.8998E+0,-746.8734E-9,-3.0000E+0,25.7993E+0,-14.9375E-3,,18.7696E+3,,7.8129E-3,1.8999E+0,-478.5234E-9,-2.5000E+0,173.6176E+0,-9.5705E-3,,3.4961E+3,,15.9852E-3,1.8999E+0,-264.6811E-9,-2.0000E+0,355.2234E+0,-5.2936E-3,,2.1459E+3,,23.9229E-3,1.8999E+0,-243.7173E-9,-1.5000E+0,531.6141E+0,-4.8743E-3,,854.0653E+0,,30.5433E-3,1.8999E+0,-151.4727E-9,-1.0000E+0,678.7329E+0,-3.0295E-3,,178.2203E+0,,34.4250E-3,1.8999E+0,-298.2251E-9,-500.0000E-3,764.9925E+0,-5.9645E-3,,95.3360E+0,,36.5030E-3,1.8999E+0,-193.4022E-9,000.0000E+0,811.1697E+0,-3.8680E-3,,77.2243E+0,,37.6957E-3,1.8999E+0,-231.1390E-9,500.0000E-3,837.6729E+0,-4.6228E-3,,70.9103E+0,,38.5610E-3,1.8999E+0,-218.5607E-9,1.0000E+0,856.9020E+0,-4.3712E-3,,68.2321E+0,,39.1681E-3,1.8999E+0,-273.0685E-9,1.5000E+0,870.3931E+0,-5.4614E-3,,66.5631E+0,,40.0263E-3,1.8999E+0,-50.8408E-9,2.0000E+0,889.4655E+0,-1.0168E-3,,65.9099E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843.8060E-9,2.0000E+0,-3.1201E-6,-5.0000E+0,18.7511E-3,-62.4018E-3,,4.7498E+6,,671.3830E-9,2.0000E+0,-2.3989E-6,-4.5000E+0,14.9195E-3,-47.9780E-3,,5.1161E+6,,550.5728E-9,2.0000E+0,-1.6442E-6,-4.0000E+0,12.2348E-3,-32.8833E-3,,5.1731E+6,,515.4160E-9,1.9999E+0,-1.0152E-6,-3.5000E+0,11.4536E-3,-20.3044E-3,,4.2811E+6,,1.1699E-3,1.9999E+0,-792.9957E-9,-3.0000E+0,25.9982E+0,-15.8599E-3,,11.1838E+3,,7.8347E-3,2.0000E+0,-516.2601E-9,-2.5000E+0,174.1019E+0,-10.3252E-3,,4.5935E+3,,16.0300E-3,1.9999E+0,-327.5763E-9,-2.0000E+0,356.2185E+0,-6.5515E-3,,2.2352E+3,,24.0057E-3,2.0000E+0,-205.9805E-9,-1.5000E+0,533.4536E+0,-4.1196E-3,,1.2092E+3,,30.9594E-3,2.0000E+0,-159.8582E-9,-1.0000E+0,687.9799E+0,-3.1972E-3,,240.5339E+0,,35.3542E-3,2.0000E+0,-264.6811E-9,-500.0000E-3,785.6403E+0,-5.2936E-3,,107.7274E+0,,37.7055E-3,2.0000E+0,-239.5245E-9,000.0000E+0,837.8927E+0,-4.7905E-3,,83.2437E+0,,39.0317E-3,2.0000E+0,-168.2438E-9,500.0000E-3,867.3632E+0,-3.3649E-3,,74.9204E+0,,39.9614E-3,2.0000E+0,-294.0324E-9,1.0000E+0,888.0228E+0,-5.8806E-3,,71.4685E+0,,40.6057E-3,2.0000E+0,-277.2595E-9,1.5000E+0,902.3400E+0,-5.5452E-3,,69.6255E+0,,41.4775E-3,2.0000E+0,-168.2438E-9,2.0000E+0,921.7125E+0,-3.3649E-3,,68.9830E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866.5928E-9,2.0998E+0,-3.2249E-6,-5.0000E+0,19.2574E-3,-64.4983E-3,,4.3820E+6,,695.9980E-9,2.0998E+0,-2.3486E-6,-4.5000E+0,15.4665E-3,-46.9717E-3,,4.0564E+6,,573.5117E-9,2.0998E+0,-1.6651E-6,-4.0000E+0,12.7446E-3,-33.3026E-3,,4.3520E+6,,533.6893E-9,2.0997E+0,-1.0530E-6,-3.5000E+0,11.8596E-3,-21.0592E-3,,5.4636E+6,,1.1772E-3,2.0998E+0,-776.2246E-9,-3.0000E+0,26.1606E+0,-15.5245E-3,,13.6636E+3,,7.8611E-3,2.0999E+0,-507.8746E-9,-2.5000E+0,174.6887E+0,-10.1575E-3,,3.7806E+3,,16.0707E-3,2.0998E+0,-281.4540E-9,-2.0000E+0,357.1235E+0,-5.6291E-3,,2.4517E+3,,24.0739E-3,2.0998E+0,-185.0149E-9,-1.5000E+0,534.9696E+0,-3.7003E-3,,1.4634E+3,,31.2530E-3,2.0998E+0,-218.5607E-9,-1.0000E+0,694.5035E+0,-4.3712E-3,,340.1235E+0,,36.1547E-3,2.0998E+0,-294.0324E-9,-500.0000E-3,803.4290E+0,-5.8806E-3,,124.7330E+0,,38.8169E-3,2.0998E+0,-235.3318E-9,000.0000E+0,862.5890E+0,-4.7066E-3,,89.8420E+0,,40.2902E-3,2.0998E+0,-226.9444E-9,500.0000E-3,895.3279E+0,-4.5389E-3,,79.3438E+0,,41.2848E-3,2.0998E+0,-201.7878E-9,1.0000E+0,917.4311E+0,-4.0358E-3,,75.4481E+0,,41.9681E-3,2.0998E+0,-277.2595E-9,1.5000E+0,932.6162E+0,-5.5452E-3,,73.2832E+0,,42.8545E-3,2.0998E+0,-247.9101E-9,2.0000E+0,952.3131E+0,-4.9582E-3,,72.5075E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
